ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,COR,SEN,SPO,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0.03125,0.03125,0.09375,0.510416667,0.970927646,1.37241755,1.383018926,0.529269792,0.5,0.083333333,0.416666667,0,0.604166667,-0.124867857,0.182729545,0,3.729166667,0,1,1,0,1,0,Hadoop Common
0,0.444444444,0,0.111111111,1.097940317,1.704812078,1.71676923,0.680511111,0.444444444,0,0.555555556,0,0.777777778,-0.0139,0.1125,0,2.666666667,0,1,0,0,1,0,Hadoop Common
0,0,0,0.166666667,0.9935717,1.501999333,1.518546133,0.4035,0.5,0,0.5,0,0,-0.125,0.2011,0,3.166666667,0,1,0,0,1,0,Hadoop Common
0,0.1,0,0.5,0.996614944,1.435343457,1.516872985,0.48453,0.7,0,0.3,0,0.4,0,0.317083333,0,2.5,0,1,0,0,1,0,Hadoop Common
0.02016129,0.221774194,0.157258065,0.334677419,0.933487399,1.359867674,1.352125734,0.604701613,0.608870968,0.060483871,0.318548387,0.012096774,0.560483871,-0.11997,0.187966942,0,4.024193548,0,1,0,0,1,0,Hadoop Common
0.010810811,0.064864865,0.07027027,0.232432432,1.017202893,1.443137962,1.434257802,0.633337838,0.643243243,0.054054054,0.297297297,0.005405405,0.367567568,-0.173264286,0.186888235,0,3.351351351,0,1,0,0,1,0,Hadoop Common
0.090431125,0.128286015,0.128286015,0.362776025,0.941524671,1.406221858,1.401403759,0.543773291,0.609884332,0.023133544,0.360672976,0.006309148,0.676130389,-0.115030409,0.184619833,4,5.723449001,0,1,1,1,1,0,Hadoop Common
0.023751523,0.076735688,0.114494519,0.351400731,0.973594931,1.43257353,1.430815389,0.527264129,0.593788063,0.037758831,0.364799026,0.00365408,0.543848965,-0.14485289,0.21166974,11,3.532886724,0,1,1,1,1,0,Hadoop Common
0.033397559,0.191393706,0.074502248,0.293513166,0.795134819,1.182499117,1.173207074,0.634808157,0.707129094,0.039820167,0.249839435,0.003211304,0.453436095,-0.155132389,0.205117921,0,3.010276172,0,1,1,0,1,0,Hadoop Common
0.047169811,0.132075472,0.160377358,0.5,0.965037576,1.420401598,1.390025296,0.533533019,0.471698113,0.047169811,0.471698113,0.009433962,0.575471698,-0.179747059,0.212981818,0,5.613207547,0,1,1,0,1,0,Hadoop Common
0.015817223,0.094903339,0.057996485,0.259226714,0.893454411,1.303633841,1.308481598,0.582699912,0.631810193,0.024604569,0.340949033,0.002636204,0.411247803,-0.159277934,0.20498454,9,2.981546573,0,1,1,1,1,0,Hadoop Common
0,0,0,0,1.2262791,1.6763031,1.793773,0.25,1,0,0,0,0.5,0,0.2222,0,2.5,0,1,0,0,1,0,Hadoop Common
0.061032864,0.056338028,0.051643192,0.215962441,1.024999539,1.498989993,1.492381069,0.536784977,0.58685446,0.046948357,0.366197183,0,0.492957746,-0.106308,0.1887,0,5.577464789,0,1,0,0,1,0,Hadoop Common
0.061433447,0.088737201,0.064846416,0.225255973,0.958649733,1.381846944,1.396203665,0.601772696,0.720136519,0.020477816,0.255972696,0.003412969,0.484641638,-0.174757353,0.181933588,2,3.901023891,0,1,1,1,1,1,Hadoop Common
0.142857143,0,0,0.428571429,0.707232309,0.9174577,0.957092494,0.628571429,0.857142857,0,0.142857143,0,0.142857143,-0.0333,0.253166667,0,2.571428571,0,1,0,0,1,0,Hadoop Common
0.016656385,0.228254164,0.047501542,0.24120913,0.725692522,1.073124466,1.068048925,0.632937076,0.677359655,0.029611351,0.288710672,0.004318322,0.565083282,-0.153180237,0.21773061,4,2.950030845,0,1,1,1,1,1,Hadoop Common
0.060070671,0.113074205,0.056537102,0.187279152,0.935729669,1.420392521,1.404240404,0.6368947,0.756183746,0.035335689,0.208480565,0,0.356890459,-0.228728947,0.28001453,3,2.696113074,0,1,1,1,1,0,Hadoop Common
0.06779661,0.13559322,0.203389831,0.576271186,0.891576705,1.290214474,1.290281957,0.438664407,0.406779661,0.050847458,0.525423729,0.016949153,0.711864407,-0.098508333,0.145325641,0,7.796610169,0,1,0,0,1,0,Hadoop Common
0,0.179487179,0.025641026,0.230769231,1.047023429,1.568931599,1.569219081,0.403323077,0.564102564,0.102564103,0.333333333,0,0.41025641,-0.152428571,0.234014286,0,2.641025641,0,1,0,0,1,0,Hadoop Common
0.020833333,0.083333333,0.067708333,0.21875,0.883005821,1.274234305,1.281235407,0.695938021,0.729166667,0.046875,0.223958333,0,0.473958333,-0.119631579,0.211952632,0,2.96875,0,1,1,1,1,0,Hadoop Common
0.047482014,0.205035971,0.109352518,0.256115108,0.701478186,1.014703208,1.019922791,0.652095396,0.691366906,0.036690647,0.256115108,0.015827338,0.494964029,-0.16086019,0.213384748,0,3.748201439,0,1,1,0,1,0,Hadoop Common
0.03233729,0.0998772,0.054850594,0.2996316,0.864554758,1.260924541,1.259253236,0.584368277,0.592713876,0.041751944,0.358166189,0.00736799,0.528857962,-0.142804167,0.204430046,11,3.116250512,1,1,1,1,1,0,Hadoop Common
0.025195482,0.089487402,0.119895743,0.315377932,0.878433341,1.291882109,1.299649064,0.57811894,0.522154648,0.034752389,0.438748914,0.004344049,0.536055604,-0.1480875,0.175758727,12,4.533449175,0,1,1,1,1,1,Hadoop Common
0.03640416,0.076523031,0.121842496,0.180534918,0.982243977,1.462745702,1.44369773,0.630992348,0.696136701,0.041604755,0.258543834,0.00371471,0.506686478,-0.159648899,0.254508529,3,3.328380386,0,1,1,1,1,1,Hadoop Common
0.2,0.2,0.6,1,0.94435099,1.41431942,1.35759796,0.40382,0.4,0,0.6,0,0.4,0,0.17255,0,7.6,0,1,0,0,1,0,Hadoop Common
0.040816327,0.06122449,0.142857143,0.224489796,0.793468918,1.183760714,1.202164546,0.628202041,0.765306122,0.020408163,0.204081633,0.010204082,0.418367347,-0.0974875,0.195147887,0,2.765306122,0,1,0,0,1,0,Hadoop Common
0.25,0.75,0.25,0,0.979634933,1.54802255,1.549203175,0.323225,0,0,1,0,0.75,0,0.154225,0,4,0,1,0,0,1,0,Hadoop Common
0.01183432,0.076923077,0.142011834,0.366863905,1.021901542,1.512288503,1.496992679,0.464968047,0.473372781,0.017751479,0.50295858,0.00591716,0.609467456,-0.128171429,0.226613793,0,3.846153846,0,1,1,1,1,0,Hadoop Common
0.037231713,0.08760403,0.08716601,0.302671923,0.949533096,1.405888623,1.408237705,0.529383399,0.517739816,0.045554095,0.434077968,0.002628121,0.540954884,-0.128988535,0.192991859,1,3.925098555,0,1,1,1,1,0,Hadoop Common
